Brand,MC,NSU,NSV,GST Value,NSV-GST,Gross Sales,MRP,SP,DIS,DIS%,Month,Year,ZONE_EAST,ZONE_NORTH,ZONE_SOUTH
11524,64.62955226708608,3289.0,111132.14,0.0,111132.14,111429.0,33.87929462,33.78903618,0.0902584400000066,0.27,7,3,1,0,0
4778,94.38395432894526,0.984,62.14,0.0,62.14,62.14,63.1504065,63.1504065,0.0,0.0,11,2,0,0,1
4778,89.29911208640853,1988.01,191676.52,0.0,191676.52,192886.99,97.02516084,96.41627557,0.6088852700000018,0.63,2,2,0,1,0
11524,117.90690865789054,1232.0,167748.38,7983.48,159764.9,168206.0,136.5308442,136.1593994,0.3714447999999777,0.27,4,3,1,0,0
11524,66.4053590993476,102.0,8966.43,0.0,8966.43,10098.0,99.0,87.90617647,11.093823529999995,11.21,8,2,0,1,0
95,115.08864550541587,129.0,24542.26,1168.14,23374.12,25431.0,197.1395349,190.2500775,6.889457399999998,3.49,12,1,0,0,1
11524,256.7706880872813,364.0,82840.81,3943.47,78897.34,83258.0,228.7307692,227.5846429,1.1461262999999917,0.5,4,3,0,0,1
11524,72.73632185615322,4.0,538.0,25.6,512.4,538.0,134.5,134.5,0.0,0.0,4,2,0,1,0
1925,148.58453373817494,48.0,8801.22,418.7,8382.519999999999,9888.0,206.0,183.35875,22.641250000000014,10.99,4,2,0,0,1
2365,73.18838599346125,211.0,45075.05,2145.04,42930.01,52812.5,250.2962085,213.6258294,36.67037910000002,14.65,8,2,1,0,0
4778,136.9097879516744,6581.41,269775.06,0.0,269775.06,271405.18,41.2381511,40.99046557,0.24768553000000537,0.6,2,2,0,0,1
11524,47.128703419948486,539.0,6451.92,305.32,6146.6,6474.0,12.01113173,11.97016698,0.04096475000000055,0.34,2,1,0,0,0
11524,55.55710175995815,692.0,5981.89,281.73,5700.16,11776.0,17.01734104,8.644349711,8.372991329000001,49.2,11,1,0,1,0
11524,54.761512081631,9172.0,443033.06,21050.9,421982.16,448404.5,48.88841038,48.30277584,0.5856345400000009,1.2,1,2,0,0,1
4778,45.30230288596351,301.713,11675.21,0.0,11675.21,11675.21,38.69641016,38.69641016,0.0,0.0,7,2,0,0,0
11524,233.96122270152807,61.0,32626.78,1553.29,31073.489999999998,33106.0,542.7213115,534.8652459,7.856065599999965,1.45,11,1,0,0,0
757,71.81215186808512,2.0,186.0,8.84,177.16,186.0,93.0,93.0,0.0,0.0,4,3,0,0,1
4778,73.98801654092684,11.914,440.82,0.0,440.82,440.82,37.00016787,37.00016787,0.0,0.0,7,3,0,0,1
2024,68.0571103089327,1636.0,35314.78,1679.8,33634.979999999996,54087.0,33.06051345,21.58605134,11.474462110000001,34.71,12,2,0,0,0
